Task Type,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,T-Header,T-Column,T-par1,T-Prompt ,T-answer,Answer-Col-or-Row,
3,./Experiment_Data/Tables_PNG//DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Sort,Sodium,K,0,"In the 'Sodium' column, name the cereals with the highest 3 values in descending order" ,Mini Wheats-Almond Raisin-Cap Crunch,18 15 23,
3,./Experiment_Data/Tables_PNG//DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sort,Iron,J,0,"In the Iron column, name the cereals with the highest 3 values in descending order" ,Raisin Bran-Puffed Rice-Corn Favorite,19 28 15,
3,./Experiment_Data/Tables_PNG//DS9_candy_plain1.png,41,9,candy,plain,1,Sort,Bar,J,0,"In the 'Bar' column, name the candys with the highest 3 values in descending order" ,Good Bar-Root Barrels-Haribo Cola,25 22 5,
3,./Experiment_Data/Tables_PNG//DS10_candy_plain2.png,42,10,candy,plain,2,Sort,Nougat,L,0,"In the Nougat column, name the candys with the highest 3 values in descending order" ,Now Later-Caramel Apple-Crunch Time,26 11 20,
3,./Experiment_Data/Tables_PNG//DS11_candy_plain3.png,43,11,candy,plain,3,Sort,Chocolate,K,0,"In the 'Chocolate' column, name the candys with the highest 3 values in descending order" ,Gob Stopper-Junior Mints-Pop Rocks,5-28-27,
3,./Experiment_Data/Tables_PNG//DS12_candy_plain4.png,44,12,candy,plain,4,Sort,Nougat,I,0,"In the Nougat column, name the candys with the highest 3 values in descending order" ,Life Savers-Jaw Busters-Gold Bears,28 23 29,
3,./Experiment_Data/Tables_PNG//DS13_movie_bar1.png,61,13,movie,bar,1,Sort,Roger Ebert,I,0,"In the Roger Ebert column, name the movies with the highest 3 values in descending order" ,Adaline Age-Project Almanac-Ricki Flash,21 16 17,
3,./Experiment_Data/Tables_PNG//DS14_movie_bar2.png,62,14,movie,bar,2,Sort,Metacritic,K,0,"In the 'Metacritic' column, name the movies with the highest 3 values in descending order" ,Fantastic Four-Flights Up-Hunting Ground,5 21 20,
3,./Experiment_Data/Tables_PNG//DS15_movie_bar3.png,63,15,movie,bar,3,Sort,"Film Comment",H,0,"In the Film Comment column, name the movies with the highest 3 values in descending order" ,South Paw-Next Door-Black Sea,10 9 20,
3,./Experiment_Data/Tables_PNG//DS16_movie_bar4.png,64,16,movie,bar,4,Sort,Fandango,J,0,"In the 'Fandango' column, name the movies with the highest 3 values in descending order" ,Wild Tales-End Tour-Tomorrow land,18 6 10,
4,./Experiment_Data/Tables_PNG//DS1_anime_color1.png,1,1,anime,color,1,Estimate Average,Score,D,0,"In the 'Score' column, calculate a rough estimate of the average value",28.896551724137932,D,
4,./Experiment_Data/Tables_PNG//DS2_anime_color2.png,2,2,anime,color,2,Estimate Average,Episodes,F,0,"In the 'Episodes' column, calculate a rough estimate of the average value",62.37931034482759,F,
4,./Experiment_Data/Tables_PNG//DS3_anime_color3.png,3,3,anime,color,3,Estimate Average,Members,E,0,"In the 'Members' column, calculate a rough estimate of the average value",37.86206896551724,E,
4,./Experiment_Data/Tables_PNG//DS4_anime_color4.png,4,4,anime,color,4,Estimate Average,Favorites,G,0,"In the 'Favorites' column, calculate a rough estimate of the average value",47.6551724137931,G,
4,./Experiment_Data/Tables_PNG//DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Estimate Average,Fiber,F,0,"In the 'Fiber' column, calculate a rough estimate of the average value",56.93103448275862,F,
4,./Experiment_Data/Tables_PNG//DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Estimate Average,Fiber, G,0,"In the 'Fiber' column, calculate a rough estimate of the average value",52.310344827586206, G,
4,./Experiment_Data/Tables_PNG//DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Estimate Average,Sugars,D,0,"In the 'Sugars' column, calculate a rough estimate of the average value",35.62068965517241,D,
4,./Experiment_Data/Tables_PNG//DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Estimate Average,Score,E,0,"In the 'Score' column, calculate a rough estimate of the average value",52.310344827586206,E,
4,./Experiment_Data/Tables_PNG//DS9_candy_plain1.png,41,9,candy,plain,1,Estimate Average,Caramel,G,0,"In the 'Caramel' column, calculate a rough estimate of the average value",37.86206896551724,G,
4,./Experiment_Data/Tables_PNG//DS10_candy_plain2.png,42,10,candy,plain,2,Estimate Average,Almond,D,0,"In the 'Almond' column, calculate a rough estimate of the average value",35.62068965517241,D,
4,./Experiment_Data/Tables_PNG//DS11_candy_plain3.png,43,11,candy,plain,3,Estimate Average,Caramel,F,0,"In the 'Caramel' column, calculate a rough estimate of the average value",50.241379310344826,F,
4,./Experiment_Data/Tables_PNG//DS12_candy_plain4.png,44,12,candy,plain,4,Estimate Average,Fruity,G,0,"In the 'Fruity' column, calculate a rough estimate of the average value",37.86206896551724,G,
4,./Experiment_Data/Tables_PNG//DS13_movie_bar1.png,61,13,movie,bar,1,Estimate Average,Metacritic,E,0,"In the 'Metacritic' column, calculate a rough estimate of the average value",52.310344827586206,E,
4,./Experiment_Data/Tables_PNG//DS14_movie_bar2.png,62,14,movie,bar,2,Estimate Average,Fandango,G,0,"In the 'Fandango' column, calculate a rough estimate of the average value",37.86206896551724,G,
4,./Experiment_Data/Tables_PNG//DS15_movie_bar3.png,63,15,movie,bar,3,Estimate Average,Metacritic,F,0,"In the 'Metacritic' column, calculate a rough estimate of the average value",50.241379310344826,F,
4,./Experiment_Data/Tables_PNG//DS16_movie_bar4.png,64,16,movie,bar,4,Estimate Average,Hulu,E,0,"In the 'Hulu' column, calculate a rough estimate of the average value",52.310344827586206,E,
5,./Experiment_Data/Tables_PNG//DS1_anime_color1.png,1,1,anime,color,1,Retrieve Value,Members,G,15,"In the 'Members' column, find the anime with a value equal to '15'",Metal Panic,16,
5,./Experiment_Data/Tables_PNG//DS2_anime_color2.png,2,2,anime,color,2,Retrieve Value,Ranked,H,26,"In the 'Ranked' column, find the anime with a value equal to '26'",Monster Hunter,20,
5,./Experiment_Data/Tables_PNG//DS3_anime_color3.png,3,3,anime,color,3,Retrieve Value,Dropped,I,17,"In the 'Dropped' column, find the anime with a value equal to '17'",Magical Warfare,16,
5,./Experiment_Data/Tables_PNG//DS4_anime_color4.png,4,4,anime,color,4,Retrieve Value,Dropped,J,12,"In the 'Dropped' column, find the anime with a value equal to '12'",Metal Panic,18,
5,./Experiment_Data/Tables_PNG//DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Retrieve Value,Sugars,K,51,"In the 'Sugars' column, find the anime with a value equal to '51'",Wonderful Chex,17,
5,./Experiment_Data/Tables_PNG//DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Retrieve Value,Score,H,32,"In the 'Score' column, find the anime with a value equal to '32'",Wheat Cream,19,
5,./Experiment_Data/Tables_PNG//DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Retrieve Value,Protein,I,83,"In the 'Protein' column, find the anime with a value equal to '83'",Lucky Charms,17,
5,./Experiment_Data/Tables_PNG//DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Retrieve Value,Sodium,K,26,"In the 'Sodium' column, find the anime with a value equal to '26'",Wheat Cream,20,
5,./Experiment_Data/Tables_PNG//DS9_candy_plain1.png,41,9,candy,plain,1,Retrieve Value,Bar,J,32,"In the 'Bar' column, find the anime with a value equal to '32'",Fun Dips,19,
5,./Experiment_Data/Tables_PNG//DS10_candy_plain2.png,42,10,candy,plain,2,Retrieve Value,Chocolate,K,68,"In the 'Chocolate' column, find the anime with a value equal to '68'",Root Barrels,17,
5,./Experiment_Data/Tables_PNG//DS11_candy_plain3.png,43,11,candy,plain,3,Retrieve Value,Almond,L,26,"In the 'Almond' column, find the anime with a value equal to '26'",Reese Pieces,11,
5,./Experiment_Data/Tables_PNG//DS12_candy_plain4.png,44,12,candy,plain,4,Retrieve Value,Caramel,K,15,"In the 'Caramel' column, find the anime with a value equal to '15'",Fruit Chews,15,
5,./Experiment_Data/Tables_PNG//DS13_movie_bar1.png,61,13,movie,bar,1,Retrieve Value,IMDB,J,67,"In the 'IMDB' column, find the anime with a value equal to '67'",South Paw,20,
5,./Experiment_Data/Tables_PNG//DS14_movie_bar2.png,62,14,movie,bar,2,Retrieve Value,Hulu,I,79,"In the 'Hulu' column, find the anime with a value equal to '79'",Saint Laurent,18,
5,./Experiment_Data/Tables_PNG//DS15_movie_bar3.png,63,15,movie,bar,3,Retrieve Value,Naver,L,73,"In the 'Naver' column, find the anime with a value equal to '73'",End Tour,19,
5,./Experiment_Data/Tables_PNG//DS16_movie_bar4.png,64,16,movie,bar,4,Retrieve Value,"Film Comment",K,31,"In the 'Film Comment' column, find the anime with a value equal to '31'",Next Door,17,
